image_path,body_part,vitamin,multilabel
Eyes/vitamin_A deficiency/alopecia-areata-24.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-25.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-26.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-27.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-28.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-29.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-30.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-40.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-41.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-68.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-69.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-70.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-79.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-80.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/alopecia-areata-86.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/eczema-herpeticum-2.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/eczema-herpeticum-56.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/eczema-herpeticum-59.jpg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (10) - Copy.jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
Eyes/vitamin_A deficiency/image - Copy (10).jpeg,Eyes,vitamin_A deficiency,"['Eyes', 'vitamin_A deficiency']"
